investor,ticker,company_name,position_type,detail,source_type,source_detail,date,bio_short,bio_long,website,x_handle 
Adrian Day,FNV,Franco-Nevada Corp,stake,~9% (named top position),interview,Podcast: Triangle Investor,2026-03,"With over 35 years of experience, CEO of Adrian Day Asset Management, publishes Global Analyst. ","Adrian Day is Chairman and CEO of Adrian Day Asset Management, a registered Investment Advisory firm. He is also editor-in-chief of Global Analyst, an e-mail newsletter. With over 35 years of experience, Adrian Day curates specific buy and sell recommendations with a track record boasting an average 87.5% return for all closed positions. ",https://adrianday.com/,None
Adrian Day,AEM,Agnico Eagle Mines Ltd,stake,~11% (named top position),interview,Podcast: Triangle Investor,2026-03,,,,
Adrian Day,WPM,Wheaton Precious Metals Corp,stake,named holding,interview,Podcast: Triangle Investor,2026-03,,,,
Adrian Day,FSM,Fortuna Mining Corp,stake,named holding,interview,Podcast: Triangle Investor,2026-03,,,,
Adrian Day,PAAS,Pan American Silver Corp,stake,named holding,interview,Podcast: Lobo Tigre,2026-06-04,,,,
Peter Schiff,AEM,Agnico Eagle Mines Ltd,fund_holding,6.60% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,PAAS,Pan American Silver Corp,fund_holding,5.95% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,FSM,Fortuna Mining Corp,fund_holding,5.40% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,B,Barrick Mining Corp,fund_holding,5.40% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,OR,OR Royalties Inc,fund_holding,5.22% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,MTA,Metalla Royalty & Streaming Ltd,fund_holding,5.18% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,HSTXF,Heliostar Metals Ltd,fund_holding,5.02% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,RGLD,Royal Gold Inc,fund_holding,4.97% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Peter Schiff,FNV,Franco-Nevada Corp,fund_holding,4.38% of fund,Fund fact sheet,EuroPac EPGFX top-10 holdings,2026-06-15,,,,
Eric Sprott,DSVSF,Discovery Silver Corp,stake,"43,221,500 sh, ~22.07% weighting",SEC Form 4 / GuruFocus,"Reporting owner holdings, as of 2025-10-09",2025-10-09,,,,
Eric Sprott,JAGGF,Jaguar Mining Inc,stake,"33,293,204 sh, ~13.05% weighting",SEC Form 4 / GuruFocus,"Reporting owner holdings, as of 2025-04-25",2025-04-25,,,,
Eric Sprott,ANPMF,Andean Precious Metals Corp,stake,"23,109,638 sh, ~9.64% weighting",SEC Form 4 / GuruFocus,"Reporting owner holdings, as of 2024-10-08",2024-10-08,,,,
Eric Sprott,HYMC,Hycroft Mining Holding Corp,stake,"Filed as 10% owner; added 300,000 sh in April (950,000 sh YTD 2026)",SEC Form 4,"Form 4 transactions Apr 9 & Apr 24, 2026",2026-04-24,,,,
Eric Sprott,TDRRF,Tudor Gold Corp,stake,Named holding among 36 reporting-owner positions,SEC Form 4 / GuruFocus,Reporting owner holdings,2026-02,,,,
Eric Sprott,SPOFF,EarthLabs Inc,stake,Named holding among 36 reporting-owner positions,SEC Form 4 / GuruFocus,Reporting owner holdings,2026-02,,,,
Lawrence Lepard,RYES,Rise Gold Corp,stake,"Director / 10% owner; ~4,576,061 sh",SEC Form 4 / GuruFocus,Reporting owner holdings,2026-02-06,,,,
Rob McEwen,MUX,McEwen Inc,stake,Chief Owner; >US$200M invested personally,SEC filing / company 8-K,Company disclosure of insider ownership,2026-03-31,,,,
Rob McEwen,GOTRF,Goliath Resources Ltd,company_holding,"MUX acquired 5,181,347 units",SEC Form 10-Q,"McEwen Inc 10-Q, Mar 10, 2025 purchase",2025-03-10,,,,
Rob McEwen,PAVLF,Paragon Advanced Labs Inc,company_holding,"27.3% interest, cost basis $13.7M",SEC Form 8-K,"McEwen Inc 8-K, acquired Dec 9, 2025",2025-12-09,,,,
Lawrence Lepard,OMGGF,Omai Gold Mines Corp,stake,Big fund position; sees 5-10x potential,interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,LGCXF,Lahontan Gold Corp,stake,Big fund position; sees 5-10x potential,interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,ASM,Avino Silver & Gold Mines Ltd,stake,Named holding ('I love Avino'),interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,CDE,Coeur Mining Inc,stake,Named holding ('I love Coeur'),interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,AGMRF,Silver Mountain Resources Inc,stake,Named holding; favored as pure-silver development story,interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,PAAS,Pan American Silver Corp,stake,Named holding (large-cap),interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,EXK,Endeavour Silver Corp,stake,Named holding; growing production,interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,BTG,B2Gold Corp,stake,"Named deep-value holding; 'silly cheap', possible Africa spinoff",interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,ZAUIF,Zodiac Gold Inc,stake,"Large recent position; ON BOARD (director). <$100M cap, early-stage West Africa",interview,Mining Stock Education / Bill Powers / company PR Dec 29 2025,2026-06,,,,
Lawrence Lepard,BYAGF,Banyan Gold Corp,stake,"Named holding; cheap per-ounce, Yukon (Tara)",interview,Mining Stock Education / Bill Powers,2026-06,,,,
Lawrence Lepard,LGCFF,Lavras Gold Corp,stake,"~10% of fund; ON BOARD (director), Brazil drill story, PEA pending",interview,Mining Stock Education / Bill Powers,2026-06,,,,
